Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Teresa Abelleira,MF,es Spain,23,2000,6.7,1,10,4,40,1.5,0.6,0.1,0.25,29.7,1,0,0,0.3,0.3,0.03,0.7,0.7
2,Deborah Abiodun,MF,ng Nigeria,19,2003,1,0,1,0,0,1.01,0,0,,27.5,0,0,0,0,0,0.03,0,0
3,Adriana,MF,br Brazil,26,1996,2.9,0,8,2,25,2.78,0.69,0,0,21.9,1,0,0,1.1,1.1,0.13,-1.1,-1.1
4,Lily Agg,MF,ie Rep. of Ireland,29,1993,1.2,0,1,1,100,0.83,0.83,0,0,30.6,0,0,0,0,0,0.03,0,0
5,Eseosa Aigbogun,DF,ch Switzerland,30,1993,3.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
6,Rasheedat Ajibade,FW,ng Nigeria,23,1999,3.3,0,6,3,50,1.8,0.9,0,0,19.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5
7,Michelle Alozie,DF,ng Nigeria,26,1997,4.3,0,6,0,0,1.38,0,0,,16.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5
8,Katherine Alvarado,MF,cr Costa Rica,32,1991,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
9,Lúcia Alves,DF,pt Portugal,25,1997,1.1,0,2,2,100,1.75,1.75,0,0,12.2,0,0,0,0.4,0.4,0.2,-0.4,-0.4
10,Catarina Amado,DF,pt Portugal,23,1999,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
11,Salma Amani,FW,ma Morocco,33,1989,1.2,0,2,1,50,1.61,0.8,0,0,13.8,0,0,0,0.6,0.6,0.28,-0.6,-0.6
12,Jonna Andersson,DF,se Sweden,30,1993,6.3,0,2,0,0,0.32,0,0,,16.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
13,Lady Andrade,FW,co Colombia,31,1992,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
14,Ivana Andrés,DF,es Spain,28,1994,2.7,0,4,2,50,1.49,0.74,0,0,9.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
15,Andressa,FW,br Brazil,30,1992,0.4,0,1,1,100,2.25,2.25,0,0,25.1,1,0,0,0,0,0.05,0,0
16,Filippa Angeldahl,MF,se Sweden,25,1997,5.8,1,12,4,33.3,2.07,0.69,0,0,25.6,0,1,1,1.3,0.5,0.04,-0.3,-0.5
17,Nguyễn Thị Mỹ Anh,"DF,MF",vn Vietnam,28,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
18,Tahnai Annis,DF,ph Philippines,33,1989,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
19,Antônia,DF,br Brazil,29,1994,2.5,0,3,1,33.3,1.22,0.41,0,0,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
20,Nicole Anyomi,FW,de Germany,23,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
21,Carolina Arias,DF,co Colombia,32,1990,4.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
22,Daniela Arias,DF,co Colombia,28,1994,5,0,3,2,66.7,0.6,0.4,0,0,12.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
23,Mackenzie Arnold,GK,au Australia,29,1994,7.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
24,Ary Borges,MF,br Brazil,23,1999,2.3,3,7,4,57.1,3.09,1.76,0.43,0.75,11.8,0,0,0,1.8,1.8,0.28,1.2,1.2
25,Kosovare Asllani,MF,se Sweden,33,1989,5.1,1,5,3,60,0.98,0.59,0.2,0.33,18.8,0,0,0,0.4,0.4,0.09,0.6,0.6
26,Viviane Asseyi,"FW,MF",fr France,29,1993,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
27,Izzy Atkinson,"MF,DF",ie Rep. of Ireland,21,2001,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
28,Rosella Ayane,FW,ma Morocco,27,1996,1.5,0,1,0,0,0.65,0,0,,14.6,0,0,0,0.3,0.3,0.26,-0.3,-0.3
29,Halimatu Ayinde,MF,ng Nigeria,28,1995,2.8,0,2,0,0,0.71,0,0,,25.6,0,0,0,0,0,0.02,0,0
30,Selma Bacha,MF,fr France,22,2000,3.8,0,9,0,0,2.35,0,0,,23.9,1,0,0,0.4,0.4,0.04,-0.4,-0.4
31,Ramona Bachmann,"MF,FW",ch Switzerland,32,1990,3.7,1,5,0,0,1.36,0,0,,22.2,0,1,1,1.2,0.4,0.08,-0.2,-0.4
32,Najat Badri,MF,ma Morocco,35,1988,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
33,Jill Baijings,FW,nl Netherlands,22,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
34,Yenith Bailey,GK,pa Panama,22,2001,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
35,Stine Ballisager Pedersen,DF,dk Denmark,29,1994,2.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
36,Carina Baltrip-Reyes,DF,pa Panama,24,1998,3,0,1,1,100,0.34,0.34,0,0,19.5,0,0,0,0,0,0.02,0,0
37,Barbra Banda,FW,zm Zambia,23,2000,3,1,8,3,37.5,2.67,1,0,0,18.9,0,1,1,1.2,0.4,0.05,-0.2,-0.4
38,Susan Banda,MF,zm Zambia,28,1995,2.4,0,1,0,0,0.42,0,0,,29.7,0,0,0,0,0,0.02,0,0
39,Estefanía Banini,"MF,FW",ar Argentina,32,1990,3,0,3,1,33.3,1,0.33,0,0,31.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1
40,Alicia Barker,DF,ph Philippines,25,1998,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
41,Amber Barrett,FW,ie Rep. of Ireland,27,1996,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
42,Elisa Bartoli,DF,it Italy,32,1991,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
43,Ona Batlle,DF,es Spain,24,1999,6.8,0,4,1,25,0.59,0.15,0,0,19,0,0,0,0.2,0.2,0.05,-0.2,-0.2
44,Angela Beard,DF,ph Philippines,25,1997,3,0,2,1,50,0.67,0.33,0,0,24.7,0,0,0,0,0,0.02,0,0
45,Beatriz,"FW,MF",br Brazil,29,1993,1.3,1,9,3,33.3,7.11,2.37,0.11,0.33,12.8,0,0,0,1.3,1.3,0.15,-0.3,-0.3
46,Chiara Beccari,FW,it Italy,18,2004,2.7,0,4,0,0,1.46,0,0,,10.4,0,0,0,0.5,0.5,0.14,-0.5,-0.5
47,Vicki Bècho,"MF,FW",fr France,19,2003,2.5,1,6,4,66.7,2.4,1.6,0.17,0.25,14.3,0,0,0,0.4,0.4,0.06,0.6,0.6
48,Lorena Bedoya,MF,co Colombia,25,1997,4.9,0,7,3,42.9,1.42,0.61,0,0,28.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
49,Lineth Beerensteyn,FW,nl Netherlands,26,1996,3.3,1,12,4,33.3,3.65,1.22,0.08,0.25,15.3,0,0,0,1.1,1.1,0.09,-0.1,-0.1
50,Margaret Belemu,DF,zm Zambia,26,1997,3,0,1,0,0,0.33,0,0,,29,0,0,0,0,0,0.02,0,0
51,Mariana Benavides,DF,cr Costa Rica,28,1994,3,0,1,1,100,0.33,0.33,0,0,14.4,0,0,0,0,0,0.02,0,0
52,Lorena Benítez,MF,ar Argentina,24,1998,1.5,0,1,0,0,0.67,0,0,,31.8,0,0,0,0,0,0.02,0,0
53,Hanna Bennison,MF,se Sweden,20,2002,1.6,0,1,0,0,0.62,0,0,,23.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
54,Nouhaila Benzina,DF,ma Morocco,25,1998,3,0,1,0,0,0.33,0,0,,11.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1
55,Guro Bergsvand,DF,no Norway,29,1994,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
56,Kholosa Biyana,MF,za South Africa,28,1994,2.3,0,4,1,25,1.72,0.43,0,0,28,0,0,0,0.2,0.2,0.05,-0.2,-0.2
57,Thea Bjelde,DF,no Norway,23,2000,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
58,Nathalie Björn,DF,se Sweden,26,1997,6.3,0,4,0,0,0.63,0,0,,12,0,0,0,0.2,0.2,0.06,-0.2,-0.2
59,Stina Blackstenius,FW,se Sweden,27,1996,5.5,1,12,3,25,2.17,0.54,0.08,0.33,11.5,0,0,0,2.2,2.2,0.19,-1.2,-1.2
60,Deneisha Blackwood,DF,jm Jamaica,26,1997,4,0,2,1,50,0.5,0.25,0,0,30.4,0,0,0,0,0,0.02,0,0
61,Julie Blakstad,FW,no Norway,21,2001,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
62,Rebecka Blomqvist,FW,se Sweden,25,1997,1.8,3,3,3,100,1.66,1.66,1,1,9.8,0,0,0,1.6,1.6,0.53,1.4,1.4
63,Lisa Boattin,DF,it Italy,26,1997,3,0,3,1,33.3,1,0.33,0,0,14,1,0,0,0.2,0.2,0.07,-0.2,-0.2
64,Sarina Bolden,FW,ph Philippines,26,1996,2.6,1,1,1,100,0.38,0.38,1,1,5.9,0,0,0,0.3,0.3,0.27,0.7,0.7
65,Barbara Bonansea,FW,it Italy,32,1991,2.3,0,2,0,0,0.85,0,0,,33.4,0,0,0,0,0,0.02,0,0
66,Aitana Bonmatí,MF,es Spain,25,1998,6.5,3,19,6,31.6,2.94,0.93,0.16,0.5,15.8,0,0,0,2,2,0.11,1,1
67,Florencia Bonsegundo,"FW,MF",ar Argentina,29,1993,2.4,0,5,2,40,2.05,0.82,0,0,25.9,1,0,0,0.3,0.3,0.07,-0.3,-0.3
68,Roselord Borgella,"FW,MF",ht Haiti,30,1993,2.1,0,4,0,0,1.88,0,0,,15.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3
69,Ana Borges,DF,pt Portugal,32,1990,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
70,CJ Bott,DF,nz New Zealand,28,1995,3,0,5,1,20,1.67,0.33,0,0,21.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
71,Sofia Bouftini,MF,ma Morocco,21,2002,0.4,0,1,0,0,2.31,0,0,,7.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2
72,Katie Bowen,DF,nz New Zealand,29,1994,3,0,3,0,0,1,0,0,,21.6,1,0,0,0.3,0.3,0.09,-0.3,-0.3
73,Simone Boye Sørensen,DF,dk Denmark,31,1992,4,0,2,0,0,0.5,0,0,,7.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2
74,Jule Brand,FW,de Germany,20,2002,2.9,0,2,0,0,0.68,0,0,,14.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
75,Marit Bratberg Lund,DF,no Norway,25,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
76,Sophia Braun,"MF,DF",ar Argentina,22,2000,3,1,2,1,50,0.67,0.33,0.5,1,19.8,0,0,0,0.1,0.1,0.04,0.9,0.9
77,Millie Bright,DF,en England,29,1993,7.3,0,5,0,0,0.68,0,0,,12,0,0,0,0.5,0.5,0.1,-0.5,-0.5
78,Lucy Bronze,DF,en England,31,1991,7.1,0,8,0,0,1.13,0,0,,16.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
79,Courtney Brosnan,GK,ie Rep. of Ireland,27,1995,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
80,Jody Brown,MF,jm Jamaica,21,2002,3.7,0,2,0,0,0.54,0,0,,6,0,0,0,0.7,0.7,0.37,-0.7,-0.7
81,Esmee Brugts,FW,nl Netherlands,19,2003,4.8,2,8,4,50,1.66,0.83,0.25,0.5,25.3,0,0,0,0.3,0.3,0.04,1.7,1.7
82,Bruninha,DF,br Brazil,20,2002,0.4,0,1,0,0,2.81,0,0,,25.8,0,0,0,0,0,0.03,0,0
83,Signe Bruun,FW,dk Denmark,25,1998,0.9,0,4,0,0,4.24,0,0,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
84,Kadeisha Buchanan,DF,ca Canada,27,1995,2.5,0,1,0,0,0.4,0,0,,13.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
85,Ryley Bugay,"MF,DF",ph Philippines,27,1996,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
86,Klara Bühl,FW,de Germany,22,2000,2.2,1,8,1,12.5,3.58,0.45,0.13,1,17.8,1,0,0,0.6,0.6,0.08,0.4,0.4
87,Luana Bühler,DF,ch Switzerland,27,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
88,Claudia Bunge,DF,nz New Zealand,23,1999,0.6,0,1,1,100,1.8,1.8,0,0,13,0,0,0,0,0,0.02,0,0
89,Vilde Bøe Risa,MF,no Norway,27,1995,2.8,0,2,0,0,0.7,0,0,,21.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
90,Linda Caicedo,FW,co Colombia,18,2005,5,2,8,2,25,1.6,0.4,0.25,1,17.1,0,0,0,0.3,0.3,0.04,1.7,1.7
91,Mariona Caldentey,FW,es Spain,27,1996,5,1,8,2,25,1.61,0.4,0,0,19.4,1,1,1,1.9,1.1,0.14,-0.9,-1.1
92,Diane Caldwell,DF,ie Rep. of Ireland,34,1988,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
93,Viola Calligaris,"DF,MF",ch Switzerland,27,1996,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
94,Tiffany Cameron,"DF,MF",jm Jamaica,31,1991,1.7,0,1,0,0,0.58,0,0,,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
95,Sofia Cantore,FW,it Italy,23,1999,1.3,0,5,2,40,3.95,1.58,0,0,18.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
96,Ana Capeta,"FW,MF",pt Portugal,25,1997,0.3,0,1,0,0,3.91,0,0,,17.1,0,0,0,0.1,0.1,0.15,-0.1,-0.1
97,Jorelyn Carabalí,DF,co Colombia,26,1997,5,0,2,0,0,0.4,0,0,,7.2,0,0,0,0.2,0.2,0.11,-0.2,-0.2
98,Olga Carmona,DF,es Spain,23,2000,4.8,2,11,4,36.4,2.28,0.83,0.18,0.5,25.7,0,0,0,0.4,0.4,0.03,1.6,1.6
99,Ellie Carpenter,DF,au Australia,23,2000,7.1,0,4,1,25,0.56,0.14,0,0,25,0,0,0,0.1,0.1,0.03,-0.1,-0.1
100,Jess Carter,DF,en England,25,1997,6.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
101,Trudi Carter,MF,jm Jamaica,28,1994,1.4,0,2,0,0,1.38,0,0,,12.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
102,Kyra Carusa,FW,ie Rep. of Ireland,27,1995,2.7,0,7,4,57.1,2.62,1.5,0,0,8.2,0,0,0,1.4,1.4,0.22,-1.4,-1.4
103,Arianna Caruso,MF,it Italy,23,1999,2.3,2,4,2,50,1.71,0.86,0.25,0.5,18.4,0,1,1,1.6,0.8,0.2,0.4,0.2
104,Estelle Cascarino,DF,fr France,26,1997,2.1,0,1,1,100,0.47,0.47,0,0,24.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
105,Kerstin Casparij,"FW,DF",nl Netherlands,22,2000,0.8,0,1,0,0,1.32,0,0,,21.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1
106,Katherine Castillo,DF,pa Panama,27,1996,2,0,1,0,0,0.5,0,0,,33.4,0,0,0,0,0,0.02,0,0
107,Steph Catley,DF,au Australia,29,1994,7.3,2,2,1,50,0.27,0.14,0,0,33.3,0,2,2,1.6,0.1,0.03,0.4,-0.1
108,Emily Cedeño,"FW,MF",pa Panama,19,2003,2,0,2,0,0,0.98,0,0,,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
109,Lineth Cedeño,FW,pa Panama,22,2000,1.3,1,2,1,50,1.49,0.74,0.5,1,12.3,0,0,0,0.6,0.6,0.31,0.4,0.4
110,Valentina Cernoia,MF,it Italy,31,1991,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
111,Noxolo Cesane,MF,za South Africa,22,2000,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
112,Ivonne Chacón,"MF,FW",co Colombia,25,1997,0.2,0,3,0,0,15,0,0,,19.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
113,Nesryne El Chad,DF,ma Morocco,20,2003,3.1,0,2,1,50,0.65,0.32,0,0,11.8,0,0,0,0,0,0.02,0,0
114,Kang Chae-rim,"FW,MF",kr Korea Republic,25,1998,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
115,Olivia Chance,"FW,MF",nz New Zealand,29,1993,1,0,1,0,0,1,0,0,,23.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
116,Hellen Chanda,MF,zm Zambia,24,1998,1,0,1,0,0,1.01,0,0,,26.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
117,Allysha Chapman,DF,ca Canada,34,1989,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
118,Niamh Charles,"DF,MF",en England,23,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
119,Gabriela Chávez,DF,ar Argentina,34,1989,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
120,Ghizlane Chebbak,MF,ma Morocco,32,1990,4,0,4,2,50,1,0.5,0,0,31.4,0,0,1,0.9,0.2,0.04,-0.9,-0.2
121,Gao Chen,DF,cn China PR,30,1992,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
122,Wu Chengshu,"FW,MF",cn China PR,26,1996,2.5,0,2,1,50,0.81,0.4,0,0,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
123,Remina Chiba,MF,jp Japan,24,1999,0,0,1,0,0,90,0,0,,17.9,0,0,0,0,0,0.04,0,0
124,Alex Chidiac,MF,au Australia,24,1999,0.3,0,2,1,50,6.92,3.46,0,0,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
125,Priscila Chinchilla,"FW,MF",cr Costa Rica,21,2001,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
126,Avell Chitundu,"MF,FW",zm Zambia,25,1997,1.7,0,3,0,0,1.73,0,0,,15,0,0,0,0.2,0.2,0.05,-0.2,-0.2
127,Lene Christensen,GK,dk Denmark,23,2000,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
128,Laia Codina,DF,es Spain,23,2000,3.6,1,3,1,33.3,0.82,0.27,0.33,1,8.5,0,0,0,0.4,0.4,0.14,0.6,0.6
129,Cata Coll,GK,es Spain,22,2001,4.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
130,Aldana Cometti,DF,ar Argentina,27,1996,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
131,Megan Connolly,DF,ie Rep. of Ireland,26,1997,3,0,1,0,0,0.33,0,0,,22.2,1,0,0,0.1,0.1,0.1,-0.1,-0.1
132,Laura Coombs,MF,en England,32,1991,1.1,0,3,0,0,2.76,0,0,,22.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2
133,Kyra Cooney-Cross,MF,au Australia,21,2002,7.3,0,5,2,40,0.69,0.27,0,0,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
134,Vanina Correa,GK,ar Argentina,39,1983,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
135,Carole Costa,DF,pt Portugal,33,1990,3,0,2,0,0,0.67,0,0,,23.6,0,0,0,0,0,0.02,0,0
136,María Coto,"DF,MF",cr Costa Rica,25,1998,3,0,3,0,0,1,0,0,,6.9,0,0,0,0.6,0.6,0.2,-0.6,-0.6
137,Jessika Cowart,DF,ph Philippines,23,1999,2.9,0,1,0,0,0.34,0,0,,15.8,0,0,0,0,0,0.02,0,0
138,Marta Cox,"MF,FW",pa Panama,25,1997,2.9,1,8,4,50,2.79,1.4,0.13,0.25,25.4,2,0,0,0.3,0.3,0.04,0.7,0.7
139,Ana-Maria Crnogorčević,"FW,MF",ch Switzerland,32,1990,4,0,5,2,40,1.25,0.5,0,0,10.5,0,0,0,1.2,1.2,0.24,-1.2,-1.2
140,Julieta Cruz,DF,ar Argentina,27,1996,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
141,Sara Däbritz,MF,de Germany,28,1995,2.7,0,3,0,0,1.11,0,0,,16.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
142,Kenza Dali,MF,fr France,31,1991,3.6,1,12,3,25,3.36,0.84,0.08,0.33,18.7,0,0,0,0.6,0.6,0.05,0.4,0.4
143,Rachel Daly,DF,en England,31,1991,6,1,12,7,58.3,2,1.17,0.08,0.14,11,0,0,0,1.5,1.5,0.12,-0.5,-0.5
