Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT
121,Gao Chen,DF,CN,China PR,30,1992,0.1,0,0,0
122,Wu Chengshu,FW|MF,CN,China PR,26,1996,2.5,0,2,1
235,Wu Haiyan,DF,CN,China PR,30,1993,0.2,0,0,0
258,Xu Huan,GK,CN,China PR,24,1999,1,0,0,0
283,Lou Jiahui,FW,CN,China PR,32,1991,2.2,0,1,1
284,Tang Jiali,FW,CN,China PR,28,1995,0,0,0,0
285,Dou Jiaxing,DF,CN,China PR,23,2000,0.1,0,0,0
326,Yang Lina,MF,CN,China PR,29,1994,3,0,4,1
328,Yao Lingwei,MF,CN,China PR,27,1995,1.9,0,0,0
330,Wang Linlin,FW,CN,China PR,22,2000,0,0,0,0
331,Zhang Linyan,MF|FW,CN,China PR,22,2001,3,0,4,2
366,Li Mengwen,DF,CN,China PR,28,1995,2.8,0,1,0
367,Shen Mengyu,MF|FW,CN,China PR,21,2001,0.2,0,1,0
451,Chen Qiaozhu,DF,CN,China PR,23,1999,3,0,2,1
488,Zhang Rui,MF,CN,China PR,34,1989,1.3,0,2,0
519,Wang Shanshan,DF,CN,China PR,33,1990,3,0,1,0
525,Wang Shuang,FW|MF,CN,China PR,28,1995,1.8,2,3,1
603,Yao Wei,DF|MF,CN,China PR,25,1997,3,0,1,0
609,Zhang Xin,FW|MF,CN,China PR,31,1992,1.1,0,0,0
612,Gu Yasha,MF|FW,CN,China PR,32,1990,0.2,0,0,0
615,Zhu Yu,GK,CN,China PR,25,1997,2,0,0,0
