Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT
11,Salma Amani,FW,MA,Morocco,33,1989,1.2,0,2,1
28,Rosella Ayane,FW,MA,Morocco,27,1996,1.5,0,1,0
32,Najat Badri,MF,MA,Morocco,35,1988,0.2,0,0,0
54,Nouhaila Benzina,DF,MA,Morocco,25,1998,3,0,1,0
71,Sofia Bouftini,MF,MA,Morocco,21,2002,0.4,0,1,0
113,Nesryne El Chad,DF,MA,Morocco,20,2003,3.1,0,2,1
120,Ghizlane Chebbak,MF,MA,Morocco,32,1990,4,0,4,2
176,Khadija Er-Rmichi,GK,MA,Morocco,33,1989,4,0,0,0
236,Hanane Aït El Haj,DF,MA,Morocco,28,1994,4,0,2,1
289,Ibtissam Jraïdi,FW,MA,Morocco,30,1992,2.8,1,5,3
295,Sarah Kassi,DF|MF,MA,Morocco,19,2003,1.5,0,0,0
309,Anissa Lahmari,FW,MA,Morocco,26,1997,2.2,1,2,1
387,Yasmin Mrabet,DF,MA,Morocco,23,1999,0.9,0,0,0
396,Élodie Nakkach,MF,MA,Morocco,28,1995,3.5,0,1,0
423,Sakina Ouzraoui,MF,MA,Morocco,21,2001,4,0,1,0
467,Zineb Redouani,DF,MA,Morocco,23,2000,4,0,1,1
560,Fatima Tagnaout,MF,MA,Morocco,24,1999,3.6,0,1,1
