country,goals,shots,shots_on_target,shots_conv_rate,shots_on_target_conv_rate,efficiency_rating
Germany,6,43,11,0.14,0.55,Top Tier
Philippines,1,11,2,0.09,0.5,Top Tier
Sweden,14,81,28,0.17,0.5,Top Tier
France,12,93,28,0.13,0.43,Top Tier
Japan,14,81,33,0.17,0.42,Top Tier
Panama,3,24,8,0.12,0.38,Upper Middle Tier
Australia,10,97,28,0.1,0.36,Upper Middle Tier
Netherlands,12,83,33,0.14,0.36,Upper Middle Tier
Colombia,6,62,17,0.1,0.35,Upper Middle Tier
Spain,17,155,49,0.11,0.35,Upper Middle Tier
England,13,95,39,0.14,0.33,Upper Middle Tier
Zambia,3,24,9,0.12,0.33,Upper Middle Tier
Argentina,2,24,7,0.08,0.29,Lower Middle Tier
China PR,2,22,7,0.09,0.29,Lower Middle Tier
Norway,6,66,21,0.09,0.29,Lower Middle Tier
Nigeria,3,53,11,0.06,0.27,Lower Middle Tier
Brazil,5,61,20,0.08,0.25,Lower Middle Tier
Denmark,3,40,12,0.07,0.25,Lower Middle Tier
Italy,3,41,12,0.07,0.25,Lower Middle Tier
South Africa,5,48,20,0.1,0.25,Lower Middle Tier
Costa Rica,1,23,5,0.04,0.2,Lower Middle Tier
Korea Republic,1,26,5,0.04,0.2,Lower Middle Tier
Portugal,2,37,10,0.05,0.2,Lower Middle Tier
Morocco,2,24,11,0.08,0.18,Bottom Tier
Switzerland,2,29,11,0.07,0.18,Bottom Tier
USA,4,84,25,0.05,0.16,Bottom Tier
Jamaica,1,35,8,0.03,0.12,Bottom Tier
Rep. of Ireland,1,28,8,0.04,0.12,Bottom Tier
New Zealand,1,39,9,0.03,0.11,Bottom Tier
Canada,1,43,12,0.02,0.08,Bottom Tier
Haiti,0,23,5,0.0,0.0,Bottom Tier
Vietnam,0,10,2,0.0,0.0,Bottom Tier
