Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT
17,Nguyễn Thị Mỹ Anh,DF|MF,VN,Vietnam,28,1994,1,0,0,0
26,Viviane Asseyi,FW|MF,FR,France,29,1993,0.5,0,0,0
27,Izzy Atkinson,MF|DF,IE,Rep. of Ireland,21,2001,0.3,0,0,0
31,Ramona Bachmann,MF|FW,CH,Switzerland,32,1990,3.7,1,5,0
39,Estefanía Banini,MF|FW,AR,Argentina,32,1990,3,0,3,1
45,Beatriz,FW|MF,BR,Brazil,29,1993,1.3,1,9,3
47,Vicki Bècho,MF|FW,FR,France,19,2003,2.5,1,6,4
67,Florencia Bonsegundo,FW|MF,AR,Argentina,29,1993,2.4,0,5,2
68,Roselord Borgella,FW|MF,HT,Haiti,30,1993,2.1,0,4,0
76,Sophia Braun,MF|DF,AR,Argentina,22,2000,3,1,2,1
85,Ryley Bugay,MF|DF,PH,Philippines,27,1996,0.3,0,0,0
93,Viola Calligaris,DF|MF,CH,Switzerland,27,1996,0.6,0,0,0
94,Tiffany Cameron,DF|MF,JM,Jamaica,31,1991,1.7,0,1,0
96,Ana Capeta,FW|MF,PT,Portugal,25,1997,0.3,0,1,0
105,Kerstin Casparij,FW|DF,NL,Netherlands,22,2000,0.8,0,1,0
108,Emily Cedeño,FW|MF,PA,Panama,19,2003,2,0,2,0
112,Ivonne Chacón,MF|FW,CO,Colombia,25,1997,0.2,0,3,0
114,Kang Chae-rim,FW|MF,KR,Korea Republic,25,1998,0.3,0,0,0
115,Olivia Chance,FW|MF,NZ,New Zealand,29,1993,1,0,1,0
118,Niamh Charles,DF|MF,EN,England,23,1999,0.2,0,0,0
122,Wu Chengshu,FW|MF,CN,China PR,26,1996,2.5,0,2,1
125,Priscila Chinchilla,FW|MF,CR,Costa Rica,21,2001,3,0,0,0
126,Avell Chitundu,MF|FW,ZM,Zambia,25,1997,1.7,0,3,0
136,María Coto,DF|MF,CR,Costa Rica,25,1998,3,0,3,0
138,Marta Cox,MF|FW,PA,Panama,25,1997,2.9,1,8,4
139,Ana-Maria Crnogorčević,FW|MF,CH,Switzerland,32,1990,4,0,5,2
154,Caitlin Dijkstra,MF|DF,NL,Netherlands,24,1999,0.5,0,0,0
166,Onome Ebi,DF|MF,NG,Nigeria,40,1983,0.1,0,0,0
167,Jennifer Echegini,MF|FW,NG,Nigeria,22,2001,0.5,0,0,0
169,Emily van Egmond,FW|MF,AU,Australia,29,1993,4,1,9,2
174,Jun Endō,MF|DF,JP,Japan,23,2000,3.3,1,2,1
175,Bethany England,FW|MF,EN,England,29,1994,0.6,0,2,0
183,Park Eun-sun,FW|MF,KR,Korea Republic,36,1986,1.3,0,3,0
187,Sinead Farrelly,FW|MF,IE,Rep. of Ireland,33,1989,2.4,0,3,1
190,Isabella Flanigan,MF|FW,PH,Philippines,18,2005,1.2,0,0,0
192,Caitlin Foord,MF|FW,AU,Australia,28,1994,7.3,1,16,2
198,Aoba Fujino,FW|MF,JP,Japan,19,2004,4,1,13,4
202,Bongeka Gamede,MF|DF,ZA,South Africa,24,1999,4,0,2,0
203,Mille Gejl,FW|MF,DK,Denmark,23,1999,0.6,0,1,1
204,Lee Geum-min,MF|FW,KR,Korea Republic,29,1994,2,0,3,1
207,Geyse,FW|MF,BR,Brazil,25,1998,1.1,0,3,0
225,Giada Greggi,MF|FW,IT,Italy,23,2000,0.8,0,2,1
230,Katrina Guillou,FW|MF,PH,Philippines,29,1993,3,0,3,0
240,Pernille Harder,MF|FW,DK,Denmark,30,1992,4,1,10,4
251,Jennifer Hermoso,MF|FW,ES,Spain,33,1990,7.2,3,19,6
253,Oihane Hernández,DF|FW,ES,Spain,23,2000,3.4,0,1,0
254,Melissa Herrera,FW|MF,CR,Costa Rica,26,1996,3,1,5,1
256,Sibulele Holweni,DF|MF,ZA,South Africa,22,2001,1.4,0,1,0
263,Lina Hurtig,FW|MF,SE,Sweden,27,1995,1.3,0,1,0
268,Choo Hyo-joo,DF|FW,KR,Korea Republic,22,2000,2.5,0,1,0
275,Sofia Jakobsson,FW|MF,SE,Sweden,33,1990,1.5,0,2,2
276,Grace Jale,FW|MF,NZ,New Zealand,24,1999,0.3,0,1,1
277,Lauren James,MF|FW,EN,England,21,2001,3.7,3,9,6
295,Sarah Kassi,DF|MF,MA,Morocco,19,2003,1.5,0,0,0
302,Melinda Kgadiete,FW|MF,ZA,South Africa,30,1992,0.1,0,0,0
307,Racheal Kundananji,MF|FW,ZM,Zambia,23,2000,3,1,8,5
311,Abbie Larkin,FW|MF,IE,Rep. of Ireland,18,2005,0.9,0,2,0
