Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT,shots_conv_rate,shots_on_target_conv_rate
1,Teresa Abelleira,MF,ES,Spain,23,2000,6.7,1,10,4,0.1,0.25
2,Deborah Abiodun,MF,NG,Nigeria,19,2003,1,0,1,0,0.0,0.0
3,Adriana,MF,BR,Brazil,26,1996,2.9,0,8,2,0.0,0.0
4,Lily Agg,MF,IE,Rep. of Ireland,29,1993,1.2,0,1,1,0.0,0.0
5,Eseosa Aigbogun,DF,CH,Switzerland,30,1993,3.5,0,0,0,0.0,0.0
6,Rasheedat Ajibade,FW,NG,Nigeria,23,1999,3.3,0,6,3,0.0,0.0
7,Michelle Alozie,DF,NG,Nigeria,26,1997,4.3,0,6,0,0.0,0.0
8,Katherine Alvarado,MF,CR,Costa Rica,32,1991,3,0,0,0,0.0,0.0
9,Lúcia Alves,DF,PT,Portugal,25,1997,1.1,0,2,2,0.0,0.0
10,Catarina Amado,DF,PT,Portugal,23,1999,1.8,0,0,0,0.0,0.0
11,Salma Amani,FW,MA,Morocco,33,1989,1.2,0,2,1,0.0,0.0
12,Jonna Andersson,DF,SE,Sweden,30,1993,6.3,0,2,0,0.0,0.0
13,Lady Andrade,FW,CO,Colombia,31,1992,0.6,0,0,0,0.0,0.0
14,Ivana Andrés,DF,ES,Spain,28,1994,2.7,0,4,2,0.0,0.0
15,Andressa,FW,BR,Brazil,30,1992,0.4,0,1,1,0.0,0.0
16,Filippa Angeldahl,MF,SE,Sweden,25,1997,5.8,1,12,4,0.083,0.25
17,Nguyễn Thị Mỹ Anh,DF|MF,VN,Vietnam,28,1994,1,0,0,0,0.0,0.0
18,Tahnai Annis,DF,PH,Philippines,33,1989,0.2,0,0,0,0.0,0.0
19,Antônia,DF,BR,Brazil,29,1994,2.5,0,3,1,0.0,0.0
20,Nicole Anyomi,FW,DE,Germany,23,2000,0.5,0,0,0,0.0,0.0
21,Carolina Arias,DF,CO,Colombia,32,1990,4.1,0,0,0,0.0,0.0
22,Daniela Arias,DF,CO,Colombia,28,1994,5,0,3,2,0.0,0.0
23,Mackenzie Arnold,GK,AU,Australia,29,1994,7.3,0,0,0,0.0,0.0
24,Ary Borges,MF,BR,Brazil,23,1999,2.3,3,7,4,0.429,0.75
25,Kosovare Asllani,MF,SE,Sweden,33,1989,5.1,1,5,3,0.2,0.333
26,Viviane Asseyi,FW|MF,FR,France,29,1993,0.5,0,0,0,0.0,0.0
27,Izzy Atkinson,MF|DF,IE,Rep. of Ireland,21,2001,0.3,0,0,0,0.0,0.0
28,Rosella Ayane,FW,MA,Morocco,27,1996,1.5,0,1,0,0.0,0.0
29,Halimatu Ayinde,MF,NG,Nigeria,28,1995,2.8,0,2,0,0.0,0.0
30,Selma Bacha,MF,FR,France,22,2000,3.8,0,9,0,0.0,0.0
31,Ramona Bachmann,MF|FW,CH,Switzerland,32,1990,3.7,1,5,0,0.2,0.0
32,Najat Badri,MF,MA,Morocco,35,1988,0.2,0,0,0,0.0,0.0
33,Jill Baijings,FW,NL,Netherlands,22,2001,0,0,0,0,0.0,0.0
34,Yenith Bailey,GK,PA,Panama,22,2001,3,0,0,0,0.0,0.0
35,Stine Ballisager Pedersen,DF,DK,Denmark,29,1994,2.8,0,0,0,0.0,0.0
36,Carina Baltrip-Reyes,DF,PA,Panama,24,1998,3,0,1,1,0.0,0.0
37,Barbra Banda,FW,ZM,Zambia,23,2000,3,1,8,3,0.125,0.333
38,Susan Banda,MF,ZM,Zambia,28,1995,2.4,0,1,0,0.0,0.0
39,Estefanía Banini,MF|FW,AR,Argentina,32,1990,3,0,3,1,0.0,0.0
40,Alicia Barker,DF,PH,Philippines,25,1998,2.4,0,0,0,0.0,0.0
41,Amber Barrett,FW,IE,Rep. of Ireland,27,1996,0.3,0,0,0,0.0,0.0
42,Elisa Bartoli,DF,IT,Italy,32,1991,0.3,0,0,0,0.0,0.0
43,Ona Batlle,DF,ES,Spain,24,1999,6.8,0,4,1,0.0,0.0
44,Angela Beard,DF,PH,Philippines,25,1997,3,0,2,1,0.0,0.0
45,Beatriz,FW|MF,BR,Brazil,29,1993,1.3,1,9,3,0.111,0.333
46,Chiara Beccari,FW,IT,Italy,18,2004,2.7,0,4,0,0.0,0.0
47,Vicki Bècho,MF|FW,FR,France,19,2003,2.5,1,6,4,0.167,0.25
48,Lorena Bedoya,MF,CO,Colombia,25,1997,4.9,0,7,3,0.0,0.0
49,Lineth Beerensteyn,FW,NL,Netherlands,26,1996,3.3,1,12,4,0.083,0.25
50,Margaret Belemu,DF,ZM,Zambia,26,1997,3,0,1,0,0.0,0.0
51,Mariana Benavides,DF,CR,Costa Rica,28,1994,3,0,1,1,0.0,0.0
52,Lorena Benítez,MF,AR,Argentina,24,1998,1.5,0,1,0,0.0,0.0
53,Hanna Bennison,MF,SE,Sweden,20,2002,1.6,0,1,0,0.0,0.0
54,Nouhaila Benzina,DF,MA,Morocco,25,1998,3,0,1,0,0.0,0.0
55,Guro Bergsvand,DF,NO,Norway,29,1994,0.1,0,0,0,0.0,0.0
56,Kholosa Biyana,MF,ZA,South Africa,28,1994,2.3,0,4,1,0.0,0.0
57,Thea Bjelde,DF,NO,Norway,23,2000,3.7,0,0,0,0.0,0.0
58,Nathalie Björn,DF,SE,Sweden,26,1997,6.3,0,4,0,0.0,0.0
59,Stina Blackstenius,FW,SE,Sweden,27,1996,5.5,1,12,3,0.083,0.333
60,Deneisha Blackwood,DF,JM,Jamaica,26,1997,4,0,2,1,0.0,0.0
61,Julie Blakstad,FW,NO,Norway,21,2001,0.6,0,0,0,0.0,0.0
62,Rebecka Blomqvist,FW,SE,Sweden,25,1997,1.8,3,3,3,1.0,1.0
63,Lisa Boattin,DF,IT,Italy,26,1997,3,0,3,1,0.0,0.0
64,Sarina Bolden,FW,PH,Philippines,26,1996,2.6,1,1,1,1.0,1.0
65,Barbara Bonansea,FW,IT,Italy,32,1991,2.3,0,2,0,0.0,0.0
66,Aitana Bonmatí,MF,ES,Spain,25,1998,6.5,3,19,6,0.158,0.5
67,Florencia Bonsegundo,FW|MF,AR,Argentina,29,1993,2.4,0,5,2,0.0,0.0
68,Roselord Borgella,FW|MF,HT,Haiti,30,1993,2.1,0,4,0,0.0,0.0
69,Ana Borges,DF,PT,Portugal,32,1990,3,0,0,0,0.0,0.0
70,CJ Bott,DF,NZ,New Zealand,28,1995,3,0,5,1,0.0,0.0
71,Sofia Bouftini,MF,MA,Morocco,21,2002,0.4,0,1,0,0.0,0.0
72,Katie Bowen,DF,NZ,New Zealand,29,1994,3,0,3,0,0.0,0.0
73,Simone Boye Sørensen,DF,DK,Denmark,31,1992,4,0,2,0,0.0,0.0
74,Jule Brand,FW,DE,Germany,20,2002,2.9,0,2,0,0.0,0.0
75,Marit Bratberg Lund,DF,NO,Norway,25,1997,0,0,0,0,0.0,0.0
76,Sophia Braun,MF|DF,AR,Argentina,22,2000,3,1,2,1,0.5,1.0
77,Millie Bright,DF,EN,England,29,1993,7.3,0,5,0,0.0,0.0
78,Lucy Bronze,DF,EN,England,31,1991,7.1,0,8,0,0.0,0.0
79,Courtney Brosnan,GK,IE,Rep. of Ireland,27,1995,3,0,0,0,0.0,0.0
80,Jody Brown,MF,JM,Jamaica,21,2002,3.7,0,2,0,0.0,0.0
