Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT
76,Sophia Braun,MF|DF,AR,Argentina,22,2000,3,1,2,1
407,Romina Núñez,MF|FW,AR,Argentina,29,1994,2.3,1,2,1
463,Hayley Raso,MF,AU,Australia,28,1994,6.2,3,10,6
24,Ary Borges,MF,BR,Brazil,23,1999,2.3,3,7,4
322,Adriana Leon,FW,CA,Canada,30,1992,2,1,5,1
525,Wang Shuang,FW|MF,CN,China PR,28,1995,1.8,2,3,1
90,Linda Caicedo,FW,CO,Colombia,18,2005,5,2,8,2
588,Catalina Usme,FW|MF,CO,Colombia,33,1989,5,2,7,2
254,Melissa Herrera,FW|MF,CR,Costa Rica,26,1996,3,1,5,1
240,Pernille Harder,MF|FW,DK,Denmark,30,1992,4,1,10,4
585,Sanne Troelsgaard Nielsen,MF,DK,Denmark,34,1988,0.3,1,1,1
592,Amalie Vangsgaard,FW,DK,Denmark,26,1996,2.2,1,5,2
249,Lauren Hemp,FW,EN,England,22,2000,5.8,3,13,7
277,Lauren James,MF|FW,EN,England,21,2001,3.7,3,9,6
489,Alessia Russo,FW,EN,England,24,1999,5.8,3,22,12
153,Kadidiatou Diani,FW,FR,France,28,1995,5,4,17,3
447,Alexandra Popp,FW|MF,DE,Germany,32,1991,2.9,4,14,7
103,Arianna Caruso,MF,IT,Italy,23,1999,2.3,2,4,2
553,Allyson Swaby,DF,JM,Jamaica,26,1996,4,1,1,1
374,Hinata Miyazawa,FW|MF,JP,Japan,23,1999,3.7,5,13,6
535,Cho So-hyun,MF,KR,Korea Republic,34,1988,2.7,1,3,1
289,Ibtissam Jraïdi,FW,MA,Morocco,30,1992,2.8,1,5,3
309,Anissa Lahmari,FW,MA,Morocco,26,1997,2.2,1,2,1
485,Jill Roord,MF,NL,Netherlands,26,1997,4.6,4,18,7
604,Hannah Wilkinson,FW,NZ,New Zealand,31,1992,2.8,1,8,2
292,Uchenna Kanu,FW,NG,Nigeria,25,1997,2.5,1,6,2
414,Osinachi Ohale,DF,NG,Nigeria,31,1991,4.3,1,1,1
421,Asisat Oshoala,FW,NG,Nigeria,28,1994,2.7,1,10,3
484,Sophie Román Haug,FW,NO,Norway,24,1999,2.8,3,13,6
109,Lineth Cedeño,FW,PA,Panama,22,2000,1.3,1,2,1
138,Marta Cox,MF|FW,PA,Panama,25,1997,2.9,1,8,4
443,Yomira Pinzón,DF,PA,Panama,26,1996,3,1,0,0
64,Sarina Bolden,FW,PH,Philippines,26,1996,2.6,1,1,1
173,Telma Encarnação,FW,PT,Portugal,21,2001,1.1,1,8,5
400,Kika Nazareth,MF,PT,Portugal,20,2002,1.7,1,5,2
360,Katie McCabe,MF|DF,IE,Rep. of Ireland,27,1995,3,1,6,2
303,Thembi Kgatlana,FW,ZA,South Africa,27,1996,3.9,2,19,9
343,Hildah Magaia,FW|MF,ZA,South Africa,28,1994,3.6,2,6,4
66,Aitana Bonmatí,MF,ES,Spain,25,1998,6.5,3,19,6
251,Jennifer Hermoso,MF|FW,ES,Spain,33,1990,7.2,3,19,6
466,Alba Redondo,FW,ES,Spain,26,1996,4.4,3,17,8
270,Amanda Ilestedt,DF,SE,Sweden,30,1993,7,4,9,6
31,Ramona Bachmann,MF|FW,CH,Switzerland,32,1990,3.7,1,5,0
444,Seraina Piubel,MF|FW,CH,Switzerland,23,2000,3.7,1,5,3
257,Lindsey Horan,MF,US,USA,29,1994,4.3,2,12,4
532,Sophia Smith,FW,US,USA,22,2000,4,2,13,4
37,Barbra Banda,FW,ZM,Zambia,23,2000,3,1,8,3
307,Racheal Kundananji,MF|FW,ZM,Zambia,23,2000,3,1,8,5
392,Lushomo Mweemba,DF,ZM,Zambia,22,2001,2.7,1,1,1
